Date,Conversions,Spam,Unqualified Leads,Qualified Leads,Cost,Contracts Signed,Company Name
2025-03-24,0.0,0.0,0.0,0.0,65.53,0.0,N/A
2025-03-25,0.0,1.0,0.0,0.0,34.47,0.0,wood
2025-03-26,0.0,0.0,0.0,0.0,29.08,0.0,N/A
2025-03-27,0.0,0.0,0.0,0.0,74.88,0.0,N/A
2025-03-28,1.0,2.0,1.0,0.0,100.03,0.0,assc, Homeowner
2025-03-29,0.0,0.0,0.0,0.0,69.05,0.0,N/A
2025-03-30,0.0,0.0,0.0,0.0,39.90,0.0,N/A
2025-03-31,0.0,0.0,0.0,0.0,106.60,0.0,N/A
2025-04-01,0.0,0.0,0.0,0.0,63.10,0.0,N/A
2025-04-02,1.0,0.0,0.0,1.0,58.26,1.0,Worth Steel Fabrication
2025-04-03,0.0,0.0,0.0,0.0,71.01,0.0,N/A
2025-04-04,0.0,0.0,0.0,0.0,60.36,0.0,N/A
2025-04-05,0.0,1.0,0.0,0.0,48.89,0.0,STACY
2025-04-06,0.0,0.0,0.0,0.0,101.02,0.0,N/A
2025-04-07,0.0,0.0,0.0,0.0,66.22,0.0,N/A
2025-04-08,0.0,0.0,0.0,1.0,66.70,1.0,PCM - Texas Operation Manager
2025-04-09,0.0,0.0,0.0,0.0,66.16,0.0,N/A
2025-04-10,0.0,0.0,0.0,0.0,43.23,0.0,N/A
2025-04-11,0.0,0.0,0.0,0.0,0.07,0.0,N/A
2025-04-12,0.0,0.0,0.0,0.0,21.12,0.0,N/A
2025-04-13,0.0,1.0,0.0,0.0,88.30,0.0,ds
2025-04-14,0.0,2.0,0.0,1.0,101.45,0.0,9Yards TX, Johnson
2025-04-15,1.0,1.0,0.0,0.0,121.42,0.0,mocell
2025-04-16,0.0,2.0,0.0,0.0,88.07,0.0,life, Wiki Thinkers
2025-04-17,1.0,0.0,0.0,1.0,19.94,1.0,Chisos Mountain developers LP
2025-04-18,0.0,0.0,0.0,0.0,3.17,0.0,N/A
2025-04-19,0.0,0.0,0.0,0.0,3.03,0.0,N/A
2025-04-20,0.0,0.0,0.0,0.0,13.62,0.0,N/A
2025-04-21,0.0,0.0,0.0,0.0,11.52,0.0,N/A
2025-04-22,0.0,0.0,0.0,0.0,104.03,0.0,N/A
2025-04-23,1.0,0.0,0.0,0.0,53.90,0.0,N/A
2025-04-24,0.0,0.0,0.0,0.0,89.71,0.0,N/A
2025-04-25,0.0,0.0,0.0,0.0,71.20,0.0,N/A
2025-04-26,0.0,0.0,0.0,0.0,24.11,0.0,N/A
2025-04-27,0.0,0.0,0.0,0.0,32.25,0.0,N/A
2025-04-28,1.0,0.0,0.0,1.0,111.66,0.0,On.Energy
2025-04-29,0.0,0.0,0.0,0.0,82.00,0.0,N/A
2025-04-30,1.0,0.0,0.0,1.0,46.14,0.0,Kashmere Gradens Urban Space LLC
2025-05-01,0.0,0.0,0.0,0.0,68.27,0.0,N/A
2025-05-02,0.0,0.0,0.0,0.0,63.93,0.0,N/A
2025-05-03,0.0,0.0,0.0,0.0,0.0,0.0,N/A
2025-05-04,0.0,0.0,0.0,0.0,0.0,0.0,N/A
2025-05-05,3.0,0.0,0.0,2.0,64.62,1.0,Wzone Richland Hills Inc, E & C TRUCKING LLC
2025-05-06,2.0,0.0,0.0,2.0,60.32,0.0,Bear builders, Ramco Erectors
2025-05-07,0.0,0.0,0.0,0.0,67.97,0.0,N/A
2025-05-08,0.0,1.0,0.0,0.0,49.64,0.0,Coke inc
2025-05-09,2.0,0.0,0.0,1.0,68.88,0.0,O6 Enviromental
2025-05-10,0.0,0.0,0.0,0.0,0.0,0.0,N/A
2025-05-11,0.0,0.0,0.0,0.0,0.0,0.0,N/A
2025-05-12,1.0,0.0,1.0,0.0,65.98,0.0,Roger Perez Law Office
2025-05-13,0.0,0.0,0.0,0.0,66.06,0.0,N/A
2025-05-14,2.0,0.0,0.0,1.0,74.87,0.0,Morgan,Lay Construction
2025-05-15,1.0,0.0,0.0,0.0,69.79,0.0,N/A
2025-05-16,1.0,0.0,0.0,1.0,106.85,0.0,Team Dieckmann Commercial
2025-05-17,0.0,0.0,0.0,0.0,0.0,0.0,N/A
2025-05-18,0.0,0.0,0.0,0.0,0.0,0.0,N/A
2025-05-19,2.0,0.0,0.0,1.0,63.21,0.0,Wistron Greentech
2025-05-20,0.0,0.0,0.0,0.0,57.88,0.0,N/A
2025-05-21,1.0,0.0,0.0,0.0,121.87,0.0,N/A
2025-05-22,0.0,0.0,0.0,0.0,109.69,0.0,N/A
2025-05-23,1.0,1.0,0.0,1.0,78.79,0.0,Sage Natural Resources, Social Profiler
2025-05-24,0.0,0.0,0.0,0.0,0.0,0.0,N/A
2025-05-25,0.0,0.0,0.0,0.0,0.0,0.0,N/A
2025-05-27,1.0,1.0,0.0,0.0,0.0,0.0,Jake Broker
